strategy1,strategy2,r2_1,r2_2,r2_combined,improvement,coef1,coef2
t2_CO,t2_ST,0.08023909694427467,0.06282483226951996,0.13898264041449682,0.05874354347022215,-0.0331846842836435,0.015071702813635159
t2_AF,t2_CO,0.1013205217887495,0.08023909694427467,0.15518602614135701,0.05386550435260751,0.02258495723901364,-0.028316189770093057
t1_CRL,t2_CO,0.10648454817410269,0.08023909694427467,0.15868062393898008,0.05219607576487739,0.010584141058454729,-0.027912769935226123
t2_OQ,t2_CO,0.09701991790034781,0.08023909694427467,0.1490439077732093,0.0520239898728615,0.013167016883018577,-0.027927008512787718
t2_CO,t2_SU,0.08023909694427467,0.05251655148314638,0.12409380152945315,0.04385470458517848,-0.0322399506388084,0.021412643387810043
t2_CO,t1_Q,0.08023909694427467,0.055586208656688285,0.1158862485985005,0.03564715165422583,-0.02998466322240477,0.005311312496309678
t2_AF,t2_OQ,0.1013205217887495,0.09701991790034781,0.1313868333026892,0.03006631151393968,0.017515602193517443,0.009933158632380793
t2_ST,t2_CR,0.06282483226951996,0.040266618078342975,0.08924857723629431,0.026423744966774354,0.013937145788043238,0.019383315710680877
t2_CO,t2_CR,0.08023909694427467,0.040266618078342975,0.1042999823416696,0.024060885397394927,-0.030857363385906052,0.018522020273696763
t1_Q,t2_SU,0.055586208656688285,0.05251655148314638,0.07862423527014495,0.023038026613456664,0.0048270494589445,0.01670038480602815
t2_SU,t2_CR,0.05251655148314638,0.040266618078342975,0.07530607736754547,0.022789525884399087,0.019642799087043993,0.018281587026088477
t1_CRL,t2_OQ,0.10648454817410269,0.09701991790034781,0.1249579089543178,0.01847336078021511,0.00801534426984007,0.008638818713211352
t2_ST,t2_SU,0.06282483226951996,0.05251655148314638,0.0779799589977539,0.015155126728233936,0.011339555471944977,0.014353939166944836
t1_Q,t2_CR,0.055586208656688285,0.040266618078342975,0.07056689898994906,0.014980690333260771,0.00518508940537605,0.01549625203379573
t2_AF,t2_ST,0.1013205217887495,0.06282483226951996,0.11458339601788614,0.013262874229136634,0.02091849335815648,0.00809835847225602
t2_OQ,t2_SU,0.09701991790034781,0.05251655148314638,0.11024109125067405,0.013221173350326243,0.012898764814307236,0.01277623258839091
t2_ST,t1_Q,0.06282483226951996,0.055586208656688285,0.07505154116872781,0.01222670889920785,0.010662733302087595,0.003764780855805542
t2_OQ,t2_ST,0.09701991790034781,0.06282483226951996,0.10610533482401696,0.009085416923669154,0.012264424767492465,0.007087936958299455
t2_AF,t2_CR,0.1013205217887495,0.040266618078342975,0.11035045378519737,0.00902993199644786,0.02297665413820384,0.011943568130572266
t1_CRL,t2_ST,0.10648454817410269,0.06282483226951996,0.11476631845292518,0.008281770278822487,0.010006471161316035,0.006680185803656842
t1_CRL,t2_AF,0.10648454817410269,0.1013205217887495,0.11439721415523207,0.007912665981129385,0.007410516990875223,0.012601588176047635
t2_AF,t1_Q,0.1013205217887495,0.055586208656688285,0.10898553359064678,0.00766501180189727,0.021729607339529777,0.002804959332186569
t2_OQ,t1_Q,0.09701991790034781,0.055586208656688285,0.1035174713403989,0.006497553440051096,0.022704174176554605,-0.004697479204628758
t2_AF,t2_SU,0.1013205217887495,0.05251655148314638,0.10774534663285862,0.006424824844109112,0.022087179187457406,0.00945323685948554
t1_CRL,t1_Q,0.10648454817410269,0.055586208656688285,0.11078705202996297,0.004302503855860285,0.010503515346262737,0.002184102037146108
t2_OQ,t2_CR,0.09701991790034781,0.040266618078342975,0.09992772127284522,0.0029078033724974084,0.013840412602319845,0.007298059716954519
t1_CRL,t2_SU,0.10648454817410269,0.05251655148314638,0.10722596187830802,0.0007414137042053293,0.013304112480172057,-0.004248561713093688
t1_CRL,t2_CR,0.10648454817410269,0.040266618078342975,0.10656731070168535,8.276252758265823e-05,0.012411066380852412,-0.0013881782852849418
